incident_id,year,month,department,incident_type,severity,shift,worker_experience,root_cause,days_lost,corrective_action_taken
INC-0251,2024,2,Underground Mining,Equipment Contact,Lost Time Injury,Afternoon,1–3 years,Poor communication,13,No
INC-0252,2019,6,Electrical,Manual Handling,Medical Treatment,Day,5–10 years,Environmental condition,1,No
INC-0253,2022,10,Underground Mining,Manual Handling,Near Miss,Afternoon,1–3 years,Poor communication,0,Yes
INC-0254,2021,5,Electrical,Fire / Explosion,Near Miss,Day,1–3 years,Insufficient training,0,No
INC-0255,2019,9,Open Pit Operations,Electrical Incident,First Aid,Day,>10 years,Human error,0,Partial
INC-0256,2023,4,Logistics & Transport,Equipment Contact,Medical Treatment,Afternoon,3–5 years,Insufficient training,1,Partial
INC-0257,2022,4,HSE / Supervision,Electrical Incident,First Aid,Afternoon,>10 years,Human error,0,Partial
INC-0258,2024,10,Processing Plant,Fire / Explosion,First Aid,Night,5–10 years,PPE non-compliance,0,No
INC-0259,2022,11,Electrical,Manual Handling,Near Miss,Night,>10 years,Human error,0,Partial
INC-0260,2021,8,HSE / Supervision,Struck by Object,Medical Treatment,Day,3–5 years,Fatigue,1,Partial
INC-0261,2024,8,Processing Plant,Equipment Contact,Medical Treatment,Day,1–3 years,Environmental condition,1,Partial
INC-0262,2019,12,Maintenance,Struck by Object,First Aid,Day,1–3 years,Human error,0,No
INC-0263,2019,2,Electrical,Vehicle Collision,Lost Time Injury,Afternoon,<1 year,Fatigue,6,Partial
INC-0264,2023,8,Underground Mining,Near Miss,Medical Treatment,Night,1–3 years,Human error,1,Yes
INC-0265,2021,8,Electrical,Electrical Incident,Near Miss,Night,<1 year,Insufficient training,0,Yes
INC-0266,2021,12,Underground Mining,Manual Handling,Near Miss,Afternoon,3–5 years,Human error,0,Yes
INC-0267,2024,9,Underground Mining,Struck by Object,Lost Time Injury,Night,>10 years,Human error,8,Yes
INC-0268,2021,11,Underground Mining,Struck by Object,First Aid,Afternoon,1–3 years,Human error,0,Yes
INC-0269,2024,12,Tailings Management,Electrical Incident,Near Miss,Day,1–3 years,Insufficient training,0,No
INC-0270,2023,3,Underground Mining,Slip / Trip / Fall,Lost Time Injury,Day,5–10 years,Inadequate procedure,6,No
INC-0271,2021,12,Open Pit Operations,Manual Handling,Near Miss,Night,<1 year,Inadequate procedure,0,Yes
INC-0272,2019,11,Open Pit Operations,Vehicle Collision,Near Miss,Day,1–3 years,Equipment failure,0,Partial
INC-0273,2020,9,Underground Mining,Struck by Object,Medical Treatment,Night,3–5 years,Fatigue,1,Yes
INC-0274,2024,5,Electrical,Fire / Explosion,First Aid,Day,5–10 years,Insufficient training,0,No
INC-0275,2021,4,Logistics & Transport,Slip / Trip / Fall,First Aid,Afternoon,1–3 years,Poor communication,0,Yes
INC-0276,2020,5,Open Pit Operations,Manual Handling,Near Miss,Afternoon,3–5 years,Insufficient training,0,Partial
INC-0277,2021,9,Processing Plant,Manual Handling,Medical Treatment,Day,3–5 years,Equipment failure,1,Yes
INC-0278,2024,8,Open Pit Operations,Vehicle Collision,Near Miss,Afternoon,3–5 years,Fatigue,0,Yes
INC-0279,2020,11,Logistics & Transport,Slip / Trip / Fall,Medical Treatment,Afternoon,5–10 years,Equipment failure,1,Yes
INC-0280,2023,7,Processing Plant,Slip / Trip / Fall,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0281,2019,1,Underground Mining,Manual Handling,Lost Time Injury,Day,3–5 years,Human error,5,Yes
INC-0282,2024,6,Maintenance,Slip / Trip / Fall,Near Miss,Afternoon,5–10 years,Inadequate procedure,0,No
INC-0283,2022,8,Open Pit Operations,Manual Handling,First Aid,Day,3–5 years,Equipment failure,0,No
INC-0284,2019,7,Maintenance,Slip / Trip / Fall,Near Miss,Day,5–10 years,Insufficient training,0,No
INC-0285,2024,8,HSE / Supervision,Fire / Explosion,Near Miss,Day,>10 years,Fatigue,0,Yes
INC-0286,2021,11,Underground Mining,Equipment Contact,First Aid,Night,3–5 years,Equipment failure,0,Yes
INC-0287,2023,12,Drilling & Blasting,Equipment Contact,First Aid,Night,1–3 years,Poor communication,0,No
INC-0288,2022,9,Maintenance,Struck by Object,Lost Time Injury,Day,1–3 years,Fatigue,1,Yes
INC-0289,2019,12,Underground Mining,Near Miss,First Aid,Afternoon,5–10 years,Environmental condition,0,Yes
INC-0290,2019,1,Maintenance,Struck by Object,First Aid,Afternoon,1–3 years,Fatigue,0,Yes
INC-0291,2020,2,Underground Mining,Equipment Contact,Near Miss,Afternoon,5–10 years,Human error,0,Yes
INC-0292,2020,6,Open Pit Operations,Manual Handling,Near Miss,Day,3–5 years,Insufficient training,0,Partial
INC-0293,2019,12,Underground Mining,Equipment Contact,First Aid,Afternoon,>10 years,Environmental condition,0,Partial
INC-0294,2019,3,Processing Plant,Manual Handling,Near Miss,Day,3–5 years,Fatigue,0,Yes
INC-0295,2024,8,Maintenance,Manual Handling,Near Miss,Day,1–3 years,Insufficient training,0,Yes
INC-0296,2019,7,Open Pit Operations,Electrical Incident,Medical Treatment,Night,<1 year,Human error,1,Yes
INC-0297,2022,6,Underground Mining,Manual Handling,Medical Treatment,Day,3–5 years,Human error,1,No
INC-0298,2019,10,Underground Mining,Fire / Explosion,Near Miss,Day,5–10 years,Environmental condition,0,Partial
INC-0299,2020,9,Processing Plant,Electrical Incident,Near Miss,Day,5–10 years,Poor communication,0,Partial
INC-0300,2023,11,Tailings Management,Manual Handling,Near Miss,Day,5–10 years,Insufficient training,0,Yes
INC-0301,2024,7,Processing Plant,Slip / Trip / Fall,First Aid,Afternoon,5–10 years,Insufficient training,0,Partial
INC-0302,2022,2,Underground Mining,Electrical Incident,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0303,2019,4,Maintenance,Slip / Trip / Fall,Near Miss,Day,>10 years,Environmental condition,0,Yes
INC-0304,2024,6,Drilling & Blasting,Slip / Trip / Fall,Near Miss,Night,1–3 years,Poor communication,0,No
INC-0305,2019,5,Electrical,Struck by Object,Lost Time Injury,Night,>10 years,Human error,25,No
INC-0306,2021,12,Logistics & Transport,Electrical Incident,Lost Time Injury,Day,5–10 years,Inadequate procedure,4,Yes
INC-0307,2022,3,Processing Plant,Equipment Contact,Lost Time Injury,Day,>10 years,Insufficient training,31,No
INC-0308,2024,1,Processing Plant,Near Miss,Medical Treatment,Day,5–10 years,Insufficient training,1,Yes
INC-0309,2024,3,Open Pit Operations,Vehicle Collision,Medical Treatment,Afternoon,1–3 years,Equipment failure,1,Yes
INC-0310,2022,10,Maintenance,Slip / Trip / Fall,First Aid,Afternoon,<1 year,Environmental condition,0,Yes
INC-0311,2021,5,Logistics & Transport,Struck by Object,Near Miss,Afternoon,5–10 years,Equipment failure,0,Yes
INC-0312,2024,12,Drilling & Blasting,Equipment Contact,Medical Treatment,Day,5–10 years,Human error,1,Yes
INC-0313,2024,1,Processing Plant,Chemical Exposure,Near Miss,Day,5–10 years,Insufficient training,0,No
INC-0314,2024,10,Maintenance,Slip / Trip / Fall,First Aid,Afternoon,>10 years,Equipment failure,0,Yes
INC-0315,2023,3,Underground Mining,Slip / Trip / Fall,Medical Treatment,Night,3–5 years,Human error,1,Yes
INC-0316,2019,8,Underground Mining,Manual Handling,Lost Time Injury,Afternoon,1–3 years,Inadequate supervision,9,Partial
INC-0317,2021,10,Processing Plant,Struck by Object,Medical Treatment,Day,5–10 years,Inadequate procedure,1,Yes
INC-0318,2022,1,Drilling & Blasting,Chemical Exposure,First Aid,Night,3–5 years,Human error,0,Yes
INC-0319,2022,12,Underground Mining,Manual Handling,Near Miss,Day,1–3 years,Insufficient training,0,Yes
INC-0320,2024,2,Underground Mining,Slip / Trip / Fall,First Aid,Afternoon,<1 year,Human error,0,Yes
INC-0321,2020,3,Maintenance,Struck by Object,Near Miss,Afternoon,>10 years,Equipment failure,0,Yes
INC-0322,2023,6,Underground Mining,Struck by Object,First Aid,Day,1–3 years,Poor communication,0,Partial
INC-0323,2021,6,Drilling & Blasting,Slip / Trip / Fall,First Aid,Day,3–5 years,Equipment failure,0,No
INC-0324,2023,7,Electrical,Slip / Trip / Fall,Near Miss,Day,<1 year,Human error,0,Yes
INC-0325,2020,11,Open Pit Operations,Equipment Contact,Lost Time Injury,Night,1–3 years,Poor communication,4,Partial
INC-0326,2022,12,Tailings Management,Electrical Incident,First Aid,Day,1–3 years,Equipment failure,0,Yes
INC-0327,2019,11,Processing Plant,Vehicle Collision,First Aid,Night,5–10 years,Human error,0,Yes
INC-0328,2020,4,Underground Mining,Equipment Contact,Fatality,Day,3–5 years,Human error,0,Yes
INC-0329,2024,11,Drilling & Blasting,Vehicle Collision,Lost Time Injury,Day,<1 year,Inadequate procedure,2,No
INC-0330,2021,2,HSE / Supervision,Slip / Trip / Fall,Near Miss,Afternoon,1–3 years,Inadequate procedure,0,No
INC-0331,2024,11,Open Pit Operations,Equipment Contact,First Aid,Day,<1 year,Environmental condition,0,Yes
INC-0332,2022,11,Open Pit Operations,Fire / Explosion,Near Miss,Day,3–5 years,Inadequate procedure,0,Yes
INC-0333,2019,9,Open Pit Operations,Electrical Incident,First Aid,Day,1–3 years,Human error,0,No
INC-0334,2023,5,Electrical,Manual Handling,Near Miss,Afternoon,5–10 years,Poor communication,0,Yes
INC-0335,2019,2,Underground Mining,Equipment Contact,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0336,2024,3,Underground Mining,Vehicle Collision,Near Miss,Night,<1 year,Insufficient training,0,No
INC-0337,2019,5,Processing Plant,Electrical Incident,Near Miss,Day,3–5 years,Fatigue,0,No
INC-0338,2023,2,Underground Mining,Near Miss,First Aid,Afternoon,5–10 years,Insufficient training,0,No
INC-0339,2020,7,Maintenance,Fire / Explosion,Medical Treatment,Night,<1 year,Insufficient training,1,Partial
INC-0340,2021,2,Drilling & Blasting,Slip / Trip / Fall,Fatality,Day,3–5 years,Inadequate procedure,0,Partial
INC-0341,2024,1,Electrical,Manual Handling,First Aid,Day,>10 years,Insufficient training,0,Yes
INC-0342,2022,4,Electrical,Electrical Incident,First Aid,Night,1–3 years,Insufficient training,0,Yes
INC-0343,2023,2,Underground Mining,Equipment Contact,First Aid,Afternoon,5–10 years,Equipment failure,0,Partial
INC-0344,2023,5,Logistics & Transport,Equipment Contact,Fatality,Afternoon,5–10 years,Human error,0,Yes
INC-0345,2019,1,Open Pit Operations,Struck by Object,Near Miss,Night,3–5 years,Poor communication,0,Yes
INC-0346,2024,9,Underground Mining,Manual Handling,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0347,2024,10,Tailings Management,Struck by Object,Lost Time Injury,Afternoon,<1 year,Insufficient training,4,Yes
INC-0348,2020,5,Open Pit Operations,Struck by Object,Medical Treatment,Day,<1 year,Fatigue,1,Partial
INC-0349,2022,5,HSE / Supervision,Vehicle Collision,Medical Treatment,Day,1–3 years,Equipment failure,1,Partial
INC-0350,2021,6,Electrical,Slip / Trip / Fall,Near Miss,Day,1–3 years,Equipment failure,0,Partial
INC-0351,2023,6,HSE / Supervision,Slip / Trip / Fall,Lost Time Injury,Day,3–5 years,Insufficient training,4,Partial
INC-0352,2019,6,Tailings Management,Equipment Contact,Near Miss,Afternoon,<1 year,Fatigue,0,Partial
INC-0353,2022,10,Logistics & Transport,Vehicle Collision,First Aid,Afternoon,5–10 years,Inadequate supervision,0,No
INC-0354,2023,7,Processing Plant,Fire / Explosion,Medical Treatment,Day,5–10 years,Insufficient training,1,No
INC-0355,2023,11,Open Pit Operations,Manual Handling,Near Miss,Day,5–10 years,Human error,0,Yes
INC-0356,2019,6,Open Pit Operations,Struck by Object,Medical Treatment,Night,1–3 years,Insufficient training,1,Yes
INC-0357,2024,6,Logistics & Transport,Slip / Trip / Fall,First Aid,Night,<1 year,Human error,0,Yes
INC-0358,2020,1,Electrical,Struck by Object,First Aid,Day,1–3 years,Poor communication,0,Yes
INC-0359,2023,12,Underground Mining,Chemical Exposure,First Aid,Afternoon,1–3 years,Equipment failure,0,Yes
INC-0360,2022,2,Tailings Management,Manual Handling,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0361,2020,2,Underground Mining,Chemical Exposure,First Aid,Day,3–5 years,Poor communication,0,No
INC-0362,2023,6,Underground Mining,Slip / Trip / Fall,Near Miss,Night,3–5 years,Insufficient training,0,Yes
INC-0363,2023,9,Underground Mining,Manual Handling,Near Miss,Afternoon,3–5 years,Human error,0,Yes
INC-0364,2023,10,Underground Mining,Vehicle Collision,Near Miss,Afternoon,>10 years,Insufficient training,0,No
INC-0365,2024,3,Maintenance,Vehicle Collision,Medical Treatment,Afternoon,1–3 years,Human error,1,Yes
INC-0366,2020,4,Tailings Management,Near Miss,Medical Treatment,Afternoon,>10 years,Inadequate procedure,1,Yes
INC-0367,2020,10,Electrical,Vehicle Collision,First Aid,Afternoon,<1 year,Human error,0,No
INC-0368,2020,11,Processing Plant,Electrical Incident,Near Miss,Day,>10 years,Inadequate procedure,0,Yes
INC-0369,2022,9,Logistics & Transport,Electrical Incident,First Aid,Afternoon,<1 year,Insufficient training,0,Yes
INC-0370,2021,1,Processing Plant,Fire / Explosion,Near Miss,Night,1–3 years,Inadequate supervision,0,No
INC-0371,2021,6,Underground Mining,Struck by Object,Near Miss,Day,1–3 years,Insufficient training,0,No
INC-0372,2022,11,Drilling & Blasting,Struck by Object,Lost Time Injury,Day,1–3 years,Insufficient training,1,Yes
INC-0373,2021,5,Logistics & Transport,Equipment Contact,First Aid,Day,>10 years,Poor communication,0,Yes
INC-0374,2019,1,Maintenance,Slip / Trip / Fall,First Aid,Day,1–3 years,Inadequate procedure,0,Yes
INC-0375,2022,3,Processing Plant,Struck by Object,Near Miss,Night,>10 years,Inadequate procedure,0,Yes
INC-0376,2021,3,Processing Plant,Slip / Trip / Fall,Medical Treatment,Day,1–3 years,Inadequate supervision,1,Yes
INC-0377,2022,9,Maintenance,Electrical Incident,First Aid,Night,1–3 years,Human error,0,Yes
INC-0378,2024,10,HSE / Supervision,Near Miss,Near Miss,Night,5–10 years,Poor communication,0,Yes
INC-0379,2020,4,Underground Mining,Vehicle Collision,Near Miss,Afternoon,3–5 years,PPE non-compliance,0,Yes
INC-0380,2023,10,Open Pit Operations,Manual Handling,First Aid,Day,>10 years,Inadequate supervision,0,No
INC-0381,2023,7,Open Pit Operations,Fire / Explosion,First Aid,Night,3–5 years,Inadequate procedure,0,Partial
INC-0382,2021,1,Processing Plant,Slip / Trip / Fall,Near Miss,Afternoon,>10 years,Equipment failure,0,Partial
INC-0383,2022,1,Tailings Management,Slip / Trip / Fall,Fatality,Day,1–3 years,Equipment failure,0,Yes
INC-0384,2024,10,Open Pit Operations,Near Miss,Near Miss,Afternoon,<1 year,Equipment failure,0,Partial
INC-0385,2021,10,Processing Plant,Equipment Contact,Near Miss,Afternoon,3–5 years,Insufficient training,0,No
INC-0386,2023,1,Open Pit Operations,Chemical Exposure,Near Miss,Afternoon,<1 year,Inadequate procedure,0,Partial
INC-0387,2024,6,Logistics & Transport,Equipment Contact,First Aid,Day,<1 year,Equipment failure,0,No
INC-0388,2021,11,Processing Plant,Electrical Incident,Lost Time Injury,Night,5–10 years,Human error,3,Yes
INC-0389,2024,7,Processing Plant,Vehicle Collision,Medical Treatment,Night,<1 year,Poor communication,1,Yes
INC-0390,2023,4,Electrical,Manual Handling,First Aid,Night,>10 years,Insufficient training,0,Yes
INC-0391,2022,6,HSE / Supervision,Equipment Contact,Medical Treatment,Day,5–10 years,Human error,1,Yes
INC-0392,2023,3,Open Pit Operations,Struck by Object,Lost Time Injury,Night,1–3 years,Equipment failure,31,Yes
INC-0393,2021,10,Processing Plant,Chemical Exposure,Medical Treatment,Afternoon,3–5 years,Insufficient training,1,Yes
INC-0394,2023,4,Logistics & Transport,Struck by Object,Near Miss,Afternoon,<1 year,Poor communication,0,Partial
INC-0395,2021,5,Underground Mining,Vehicle Collision,Near Miss,Day,1–3 years,Poor communication,0,Partial
INC-0396,2024,6,Open Pit Operations,Manual Handling,Fatality,Day,3–5 years,Poor communication,0,Yes
INC-0397,2022,1,Maintenance,Slip / Trip / Fall,First Aid,Day,1–3 years,Fatigue,0,No
INC-0398,2020,12,Open Pit Operations,Vehicle Collision,First Aid,Day,5–10 years,Insufficient training,0,Partial
INC-0399,2022,6,Underground Mining,Chemical Exposure,Near Miss,Day,3–5 years,Insufficient training,0,No
INC-0400,2024,12,Processing Plant,Struck by Object,First Aid,Night,1–3 years,Human error,0,Yes
INC-0401,2023,8,Processing Plant,Manual Handling,Medical Treatment,Day,>10 years,Inadequate supervision,1,Partial
INC-0402,2022,6,Logistics & Transport,Slip / Trip / Fall,Medical Treatment,Night,1–3 years,Inadequate procedure,1,No
INC-0403,2021,12,HSE / Supervision,Equipment Contact,Fatality,Day,3–5 years,Inadequate procedure,0,Partial
INC-0404,2021,7,Tailings Management,Slip / Trip / Fall,Lost Time Injury,Afternoon,1–3 years,Environmental condition,8,Partial
INC-0405,2024,8,Logistics & Transport,Slip / Trip / Fall,First Aid,Day,>10 years,Fatigue,0,Partial
INC-0406,2019,6,Open Pit Operations,Slip / Trip / Fall,First Aid,Afternoon,>10 years,Insufficient training,0,No
INC-0407,2024,4,Processing Plant,Struck by Object,First Aid,Night,<1 year,Insufficient training,0,Yes
INC-0408,2024,4,Processing Plant,Fire / Explosion,First Aid,Afternoon,5–10 years,Insufficient training,0,No
INC-0409,2020,10,Open Pit Operations,Vehicle Collision,First Aid,Afternoon,5–10 years,Insufficient training,0,Yes
INC-0410,2021,11,Electrical,Electrical Incident,First Aid,Afternoon,3–5 years,Insufficient training,0,Partial
INC-0411,2022,12,Drilling & Blasting,Equipment Contact,First Aid,Day,5–10 years,Inadequate procedure,0,Yes
INC-0412,2023,7,Electrical,Equipment Contact,First Aid,Day,3–5 years,Poor communication,0,Partial
INC-0413,2024,10,Open Pit Operations,Electrical Incident,Near Miss,Afternoon,1–3 years,Inadequate procedure,0,Yes
INC-0414,2024,5,Processing Plant,Slip / Trip / Fall,Near Miss,Day,>10 years,Human error,0,Yes
INC-0415,2021,8,Underground Mining,Equipment Contact,Medical Treatment,Night,5–10 years,Inadequate supervision,1,Yes
INC-0416,2020,3,Open Pit Operations,Equipment Contact,Near Miss,Day,1–3 years,Equipment failure,0,Partial
INC-0417,2022,8,Open Pit Operations,Chemical Exposure,Lost Time Injury,Night,>10 years,Equipment failure,5,Yes
INC-0418,2022,9,Open Pit Operations,Manual Handling,Near Miss,Night,<1 year,Poor communication,0,No
INC-0419,2023,12,Processing Plant,Struck by Object,First Aid,Night,3–5 years,Fatigue,0,No
INC-0420,2019,1,Logistics & Transport,Manual Handling,First Aid,Day,5–10 years,Fatigue,0,Yes
INC-0421,2023,11,Underground Mining,Slip / Trip / Fall,First Aid,Day,>10 years,Inadequate procedure,0,Yes
INC-0422,2024,3,Tailings Management,Near Miss,Medical Treatment,Night,<1 year,Equipment failure,1,Partial
INC-0423,2024,9,Underground Mining,Chemical Exposure,Near Miss,Afternoon,5–10 years,Inadequate procedure,0,No
INC-0424,2024,3,Open Pit Operations,Slip / Trip / Fall,Near Miss,Day,>10 years,Human error,0,No
INC-0425,2024,3,Open Pit Operations,Slip / Trip / Fall,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0426,2024,1,Processing Plant,Slip / Trip / Fall,Near Miss,Day,3–5 years,Fatigue,0,Yes
INC-0427,2019,8,Logistics & Transport,Manual Handling,First Aid,Night,5–10 years,Poor communication,0,Yes
INC-0428,2024,8,Underground Mining,Slip / Trip / Fall,First Aid,Day,<1 year,Fatigue,0,Yes
INC-0429,2021,4,Open Pit Operations,Electrical Incident,Near Miss,Night,3–5 years,Human error,0,Yes
INC-0430,2021,6,Processing Plant,Equipment Contact,Medical Treatment,Day,>10 years,Poor communication,1,No
INC-0431,2022,11,Maintenance,Slip / Trip / Fall,First Aid,Day,3–5 years,Human error,0,Partial
INC-0432,2024,2,Electrical,Manual Handling,First Aid,Day,3–5 years,Inadequate supervision,0,Partial
INC-0433,2022,3,Open Pit Operations,Slip / Trip / Fall,Lost Time Injury,Afternoon,<1 year,Insufficient training,7,Partial
INC-0434,2021,2,Logistics & Transport,Equipment Contact,Near Miss,Afternoon,5–10 years,Insufficient training,0,Yes
INC-0435,2021,2,Maintenance,Chemical Exposure,First Aid,Night,1–3 years,Equipment failure,0,Yes
INC-0436,2024,5,Processing Plant,Chemical Exposure,Medical Treatment,Night,>10 years,Equipment failure,1,Yes
INC-0437,2024,10,Logistics & Transport,Slip / Trip / Fall,Near Miss,Day,1–3 years,Poor communication,0,No
INC-0438,2019,10,Tailings Management,Vehicle Collision,Near Miss,Day,1–3 years,Human error,0,Partial
INC-0439,2020,6,Tailings Management,Slip / Trip / Fall,Medical Treatment,Day,3–5 years,Inadequate procedure,1,No
INC-0440,2021,4,Maintenance,Equipment Contact,Lost Time Injury,Day,<1 year,Human error,5,Partial
INC-0441,2020,4,Underground Mining,Vehicle Collision,First Aid,Day,5–10 years,Human error,0,Yes
INC-0442,2022,1,Open Pit Operations,Slip / Trip / Fall,First Aid,Day,3–5 years,Poor communication,0,Yes
INC-0443,2020,3,Underground Mining,Fire / Explosion,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0444,2022,11,Processing Plant,Manual Handling,First Aid,Day,>10 years,Poor communication,0,Yes
INC-0445,2024,8,Underground Mining,Vehicle Collision,First Aid,Afternoon,3–5 years,Insufficient training,0,Partial
INC-0446,2024,3,Underground Mining,Manual Handling,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0447,2019,4,Drilling & Blasting,Slip / Trip / Fall,Medical Treatment,Day,3–5 years,Human error,1,No
INC-0448,2020,11,Tailings Management,Electrical Incident,First Aid,Day,>10 years,Poor communication,0,No
INC-0449,2021,5,Logistics & Transport,Slip / Trip / Fall,Medical Treatment,Night,<1 year,Insufficient training,1,Partial
INC-0450,2023,8,Open Pit Operations,Slip / Trip / Fall,First Aid,Night,<1 year,Equipment failure,0,Partial
INC-0451,2021,10,Processing Plant,Near Miss,First Aid,Day,1–3 years,Equipment failure,0,Yes
INC-0452,2020,9,Underground Mining,Vehicle Collision,Lost Time Injury,Day,3–5 years,Human error,1,Yes
INC-0453,2021,1,Open Pit Operations,Struck by Object,Near Miss,Night,5–10 years,Inadequate procedure,0,Yes
INC-0454,2020,10,Tailings Management,Equipment Contact,Medical Treatment,Day,<1 year,Poor communication,1,Yes
INC-0455,2024,3,Underground Mining,Struck by Object,Near Miss,Night,<1 year,Equipment failure,0,Partial
INC-0456,2023,2,Processing Plant,Electrical Incident,First Aid,Night,3–5 years,Poor communication,0,Yes
INC-0457,2021,2,HSE / Supervision,Equipment Contact,Near Miss,Day,<1 year,Inadequate supervision,0,Yes
INC-0458,2023,11,Electrical,Slip / Trip / Fall,First Aid,Day,5–10 years,Insufficient training,0,Yes
INC-0459,2022,10,Logistics & Transport,Equipment Contact,First Aid,Day,<1 year,Insufficient training,0,No
INC-0460,2022,11,Underground Mining,Manual Handling,Lost Time Injury,Day,<1 year,Inadequate procedure,6,Partial
INC-0461,2021,3,Underground Mining,Near Miss,First Aid,Day,<1 year,Human error,0,Yes
INC-0462,2022,8,Processing Plant,Equipment Contact,First Aid,Day,5–10 years,Equipment failure,0,Yes
INC-0463,2024,3,Processing Plant,Chemical Exposure,First Aid,Night,>10 years,Insufficient training,0,No
INC-0464,2023,12,Processing Plant,Electrical Incident,Lost Time Injury,Night,1–3 years,Human error,12,Yes
INC-0465,2024,1,Underground Mining,Slip / Trip / Fall,Near Miss,Afternoon,1–3 years,PPE non-compliance,0,Yes
INC-0466,2019,7,Processing Plant,Manual Handling,Near Miss,Night,<1 year,Environmental condition,0,Yes
INC-0467,2022,11,Open Pit Operations,Equipment Contact,Near Miss,Afternoon,5–10 years,Inadequate procedure,0,No
INC-0468,2021,3,Underground Mining,Slip / Trip / Fall,Near Miss,Afternoon,5–10 years,Environmental condition,0,Yes
INC-0469,2019,1,Processing Plant,Manual Handling,Medical Treatment,Afternoon,1–3 years,Insufficient training,1,Yes
INC-0470,2021,12,Logistics & Transport,Manual Handling,Near Miss,Day,1–3 years,Human error,0,Partial
INC-0471,2019,7,Underground Mining,Near Miss,First Aid,Afternoon,3–5 years,Inadequate procedure,0,Yes
INC-0472,2020,1,Underground Mining,Struck by Object,Near Miss,Night,3–5 years,Insufficient training,0,Yes
INC-0473,2023,9,Underground Mining,Struck by Object,Medical Treatment,Night,<1 year,Inadequate procedure,1,Yes
INC-0474,2023,3,Underground Mining,Slip / Trip / Fall,First Aid,Night,<1 year,Equipment failure,0,Partial
INC-0475,2023,1,Maintenance,Manual Handling,Medical Treatment,Day,3–5 years,Insufficient training,1,Partial
INC-0476,2019,1,Maintenance,Electrical Incident,First Aid,Day,>10 years,Environmental condition,0,Yes
INC-0477,2020,7,Underground Mining,Equipment Contact,Lost Time Injury,Afternoon,5–10 years,Equipment failure,9,Partial
INC-0478,2019,10,Electrical,Equipment Contact,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0479,2019,1,Open Pit Operations,Near Miss,Near Miss,Day,3–5 years,Insufficient training,0,Yes
INC-0480,2019,4,Open Pit Operations,Equipment Contact,Near Miss,Night,<1 year,Equipment failure,0,Yes
INC-0481,2024,6,Logistics & Transport,Vehicle Collision,Lost Time Injury,Day,5–10 years,Environmental condition,5,Partial
INC-0482,2024,8,Underground Mining,Manual Handling,Medical Treatment,Day,<1 year,Insufficient training,1,Yes
INC-0483,2020,7,Open Pit Operations,Slip / Trip / Fall,First Aid,Afternoon,<1 year,Human error,0,No
INC-0484,2020,11,Electrical,Manual Handling,Near Miss,Night,>10 years,Inadequate supervision,0,Yes
INC-0485,2024,12,Underground Mining,Equipment Contact,Near Miss,Night,5–10 years,Inadequate procedure,0,Yes
INC-0486,2022,12,Tailings Management,Chemical Exposure,Near Miss,Day,<1 year,Poor communication,0,Yes
INC-0487,2021,12,HSE / Supervision,Chemical Exposure,First Aid,Day,1–3 years,Inadequate supervision,0,Partial
INC-0488,2022,7,Processing Plant,Vehicle Collision,First Aid,Day,1–3 years,Inadequate procedure,0,Yes
INC-0489,2021,10,Open Pit Operations,Electrical Incident,Near Miss,Afternoon,1–3 years,Inadequate procedure,0,Yes
INC-0490,2022,4,Logistics & Transport,Struck by Object,Medical Treatment,Afternoon,<1 year,Equipment failure,1,Yes
INC-0491,2023,7,HSE / Supervision,Manual Handling,Fatality,Afternoon,3–5 years,Inadequate supervision,0,Partial
INC-0492,2022,2,Processing Plant,Manual Handling,First Aid,Day,1–3 years,Inadequate procedure,0,Yes
INC-0493,2024,4,Electrical,Slip / Trip / Fall,Lost Time Injury,Day,1–3 years,Poor communication,6,Yes
INC-0494,2019,10,Electrical,Manual Handling,Near Miss,Day,3–5 years,Insufficient training,0,Yes
INC-0495,2022,7,HSE / Supervision,Equipment Contact,First Aid,Day,5–10 years,Poor communication,0,Partial
INC-0496,2024,7,Tailings Management,Slip / Trip / Fall,Near Miss,Day,5–10 years,Human error,0,Yes
INC-0497,2020,7,Open Pit Operations,Near Miss,Medical Treatment,Day,5–10 years,Fatigue,1,Yes
INC-0498,2022,7,Logistics & Transport,Near Miss,Near Miss,Day,>10 years,Inadequate procedure,0,No
INC-0499,2023,1,Underground Mining,Chemical Exposure,Lost Time Injury,Night,>10 years,Human error,26,Yes
INC-0500,2021,7,Electrical,Equipment Contact,Medical Treatment,Night,5–10 years,Poor communication,1,Yes
INC-0501,2024,1,Tailings Management,Vehicle Collision,Medical Treatment,Day,1–3 years,Insufficient training,1,Yes
INC-0502,2022,7,Underground Mining,Electrical Incident,Near Miss,Day,1–3 years,Inadequate procedure,0,Yes
INC-0503,2022,6,Maintenance,Vehicle Collision,Medical Treatment,Afternoon,>10 years,Inadequate procedure,1,No
